Username: DUARTE
Score: 4 |Start: 2020-05-27T11:35:40.086|End: 2020-05-27T11:35:54.002
Username: MOKOU
Score: 18 |Start: 2020-06-27T15:15:55.881|End: 2020-06-27T15:16:18.075
Score: 14 |Start: 2020-06-23T16:00:39.749|End: 2020-06-23T16:00:42.763
Score: 66 |Start: 2020-06-16T20:50:22.473|End: 2020-06-16T20:51:09.680
Score: 10 |Start: 2020-06-16T20:49:01|End: 2020-06-16T20:49:35.961
Score: 4 |Start: 2020-06-16T20:49:01|End: 2020-06-16T20:49:13.934
Score: 0 |Start: 2020-06-16T20:47:45.934|End: 2020-06-16T20:47:47.317
Score: 0 |Start: 2020-06-16T16:31:35.700|End: 2020-06-16T16:31:42.110
Score: 56 |Start: 2020-06-16T16:28:52.331|End: 2020-06-16T16:28:55.950
Score: 56 |Start: 2020-06-16T16:05:27.695|End: 2020-06-16T16:06:42.328
Score: 56 |Start: 2020-06-16T16:05:27.695|End: 2020-06-16T16:06:28.332
Score: 6 |Start: 2020-06-16T13:22:45.316|End: 2020-06-16T13:23:06.395
Score: 6 |Start: 2020-06-16T13:22:45.316|End: 2020-06-16T13:22:59.340
Score: 0 |Start: 2020-06-16T12:56:49.763|End: 2020-06-16T12:57:01.554
Score: 0 |Start: 2020-06-16T12:49:15.392|End: 2020-06-16T12:49:21.645
Score: 0 |Start: 2020-06-16T12:47:36.848|End: 2020-06-16T12:47:45.043
Score: 104 |Start: 2020-06-16T02:21:20.294|End: 2020-06-16T02:22:16.063
Score: 10 |Start: 2020-06-16T02:17:26.416|End: 2020-06-16T02:17:46.371
Score: 0 |Start: 2020-06-16T02:01:32.491|End: 2020-06-16T02:01:35.071
Score: 4 |Start: 2020-06-16T01:57:50.592|End: 2020-06-16T01:57:54.784
Score: 6 |Start: 2020-06-16T01:54:20.910|End: 2020-06-16T01:54:38.176
Score: 4 |Start: 2020-06-16T01:44:17.268|End: 2020-06-16T01:44:41.415
Score: 10 |Start: 2020-05-30T15:56:42.045|End: 2020-05-30T15:56:54.434
Score: 10 |Start: 2020-05-30T15:55:49.329|End: 2020-05-30T15:56:18.594
Score: 0 |Start: 2020-05-30T15:55:49.329|End: 2020-05-30T15:55:52.981
Score: 87 |Start: 2020-05-27T11:37:16.573|End: 2020-05-27T11:37:24.552
